5 min - 100 users - initial (200 Order placements / min)
10:12:26:2640 queued=239996, executed=239996, deposits=480012, withdrawals=479992, placements=480003
10:12:26:4420 queued=241245, executed=241245, deposits=482510, withdrawals=482490, placements=482509
10:12:26:6160 queued=242497, executed=242496, deposits=485002, withdrawals=485002, placements=485002
10:12:26:7930 queued=243748, executed=243748, deposits=487511, withdrawals=487496, placements=487496
10:12:26:9750 queued=244996, executed=244996, deposits=490009, withdrawals=489992, placements=490006
10:12:27:2200 queued=246245, executed=246245, deposits=492510, withdrawals=492490, placements=492509
10:12:27:4010 queued=247499, executed=247499, deposits=495005, withdrawals=494998, placements=494998
10:12:27:5760 queued=248750, executed=248749, deposits=497500, withdrawals=497500, placements=497500
10:12:27:7770 queued=249994, executed=249994, deposits=500008, withdrawals=499995, placements=500008
10:12:27:9890 queued=251247, executed=251247, deposits=502514, withdrawals=502494, placements=502497
10:12:28:1670 queued=252494, executed=252494, deposits=505008, withdrawals=504995, placements=505008
10:12:28:3910 queued=253749, executed=253749, deposits=507505, withdrawals=507498, placements=507498
10:12:28:6630 queued=254996, executed=254996, deposits=510012, withdrawals=509992, placements=510003
10:12:28:8390 queued=256249, executed=256249, deposits=512505, withdrawals=512498, placements=512498
10:12:29:0140 queued=257495, executed=257495, deposits=515010, withdrawals=514990, placements=515009
10:12:29:2640 queued=258745, executed=258745, deposits=517508, withdrawals=517493, placements=517508
10:12:29:4420 queued=259995, executed=259995, deposits=520010, withdrawals=519990, placements=520009
10:12:29:6170 queued=261248, executed=261248, deposits=522511, withdrawals=522496, placements=522496
10:12:29:7930 queued=262494, executed=262494, deposits=525006, withdrawals=524999, placements=525006
10:12:29:9670 queued=263747, executed=263745, deposits=527510, withdrawals=527493, placements=527504
10:12:30:1530 queued=264997, executed=264997, deposits=530014, withdrawals=529994, placements=529997
10:12:30:3340 queued=266244, executed=266244, deposits=532508, withdrawals=532495, placements=532508
10:12:30:5130 queued=267500, executed=267499, deposits=535000, withdrawals=535000, placements=535000
10:12:30:7410 queued=268747, executed=268747, deposits=537514, withdrawals=537494, placements=537497
10:12:30:9190 queued=269995, executed=269992, deposits=540004, withdrawals=540004, placements=540004
10:12:31:0960 queued=271243, executed=271243, deposits=542506, withdrawals=542501, placements=542506
10:12:31:2760 queued=272500, executed=272499, deposits=545000, withdrawals=545000, placements=545000
10:12:31:4660 queued=273748, executed=273748, deposits=547511, withdrawals=547496, placements=547496
10:12:31:6410 queued=274995, executed=274992, deposits=550004, withdrawals=550004, placements=550004
10:12:31:8150 queued=276248, executed=276248, deposits=552511, withdrawals=552496, placements=552496
10:12:31:9920 queued=277493, executed=277493, deposits=555006, withdrawals=555001, placements=555006
10:12:32:1700 queued=278748, executed=278745, deposits=557502, withdrawals=557502, placements=557502
10:12:32:3940 queued=279998, executed=279998, deposits=560011, withdrawals=559996, placements=559996
10:12:32:6110 queued=281245, executed=281243, deposits=562504, withdrawals=562503, placements=562504
10:12:32:7870 queued=282497, executed=282496, deposits=565002, withdrawals=565002, placements=565002
10:12:32:9720 queued=283748, executed=283748, deposits=567511, withdrawals=567496, placements=567496
